text,confidence,x_min,x_max,y_min,y_max,image_id,original_text,cleaned_text,is_valid,cleaning_actions,confidence_score,text_length,digit_ratio,letter_ratio
#,0.7630740825907765,163.8189368770764,176.12458471760797,190.6845298281092,205.7138523761375,df189641,#,,False,"['remove_special_chars', 'remove_too_short']",0.1,0,0.0,0.0
St,0.9974294209597088,236.88372093023256,259.187707641196,183.16986855409505,205.7138523761375,df189641,St,St,True,[],1.0,2,0.0,1.0
5,0.3583929298930002,153.05149501661128,165.35714285714286,195.38119312436805,211.34984833164813,df189641,5,5,False,"['remove_too_short', 'high_digit_ratio']",0.05,1,1.0,0.0
#N~,0.2949582779519658,139.97674418604652,156.1279069767442,214.16784630940344,229.19716885743173,df189641,#N~,N,False,"['remove_special_chars', 'remove_too_short']",0.1,1,0.0,1.0
CO},0.3798087884531792,186.8920265780731,209.96511627906975,215.1071789686552,240.46916076845295,df189641,CO},CO,True,['remove_special_chars'],1.0,2,0.0,1.0
"""Thornton=",0.442071492091833,119.2109634551495,181.12375415282392,225.43983822042463,257.37714863498485,df189641,"""Thornton=",Thornton,True,['remove_special_chars'],1.0,8,0.0,1.0
E,0.8771423541162484,307.641196013289,319.9468438538206,242.34782608695653,263.95247724974723,df189641,E,E,False,['remove_too_short'],0.1,1,0.0,1.0
6,0.999952316852614,278.4152823920266,289.1827242524917,273.3458038422649,292.1324570273003,df189641,6,6,False,"['remove_too_short', 'high_digit_ratio']",0.05,1,1.0,0.0
449,0.597606823704881,289.9518272425249,309.1794019933555,265.83114256825075,291.19312436804853,df189641,449,449,True,['high_digit_ratio'],0.5,3,1.0,0.0
EX:,0.2405991107225418,62.29734219269103,85.37043189368771,284.61779575328615,309.04044489383216,df189641,EX:,EX,True,['remove_special_chars'],1.0,2,0.0,1.0
g FF,0.5999232311955103,133.82392026578074,170.74086378737542,283.6784630940344,309.9797775530839,df189641,g FF,g FF,True,[],1.0,4,0.0,0.75
Mks,0.1522075894017964,143.8222591362126,175.35548172757476,302.4651162790698,327.82709807886755,df189641,Mks,Mks,True,[],1.0,3,0.0,1.0
E,0.9068596469604452,321.48504983388705,333.0215946843854,319.3731041456016,340.03842264914056,df189641,E,E,False,['remove_too_short'],0.1,1,0.0,1.0
967696}-,0.7168197517886247,107.67441860465117,160.3579734219269,324.06976744186045,358.82507583417595,df189641,967696}-,967696-,False,"['remove_special_chars', 'high_digit_ratio', 'low_letter_ratio']",0.15,7,0.8571428571428571,0.0
3291,0.2208912521600723,118.44186046511628,143.8222591362126,350.37108190091,373.8543983822042,df189641,3291,3291,True,['high_digit_ratio'],0.5,4,1.0,0.0
